ID,敏感函数,漏洞描述,文件路径,漏洞代码行,漏洞详情
12,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第172行,"            $priKey = file_get_contents($privatekey);
"
13,simplexml_load_string,可能存在信息泄露漏洞，读取任意文件,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第564行,"            $respObject = @ simplexml_load_string($resp);
"
14,simplexml_load_string,可能存在信息泄露漏洞，读取任意文件,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第600行,"                $respObject = @ simplexml_load_string($r);
"
15,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第630行,"    public function exec($paramsArray)
"
16,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第730行,"            $pubKey = file_get_contents($rsaPublicKeyFilePath);
"
17,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第730行,"            $pubKey = file_get_contents($rsaPublicKeyFilePath);
"
18,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\aop\AopClient.php,第136行,"            $priKey = file_get_contents($this->rsaPrivateKeyFilePath);
"
19,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Autoloader\Autoloader.php,第79行,"				include($functionFile);
"
20,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Autoloader\Autoloader.php,第88行,"			include($classFile);
"
21,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Autoloader\Autoloader.php,第280行,"				$libNames = $this->parseLibNames(trim(file_get_contents($file)));
"
22,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Autoloader\Autoloader.php,第293行,"			$libNames = $this->parseLibNames(trim(file_get_contents($file)));
"
23,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Cache\Adapter\CacheAdapterEAccelerator.php,第25行,"			return unserialize($value);
"
24,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Cache\Adapter\CacheAdapterPhps.php,第53行,"		return unserialize($str);
"
25,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Captcha\CaptchaImageEngine.php,第168行,"            imagecopy($this->im, $this->im,
"
26,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Captcha\CaptchaImageEngine.php,第168行,"            imagecopy($this->im, $this->im,
"
27,foreach,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Cookie\Cookie.php,第74行,"				foreach($_COOKIE[$name] as $k => $v)
"
28,foreach,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Cookie\Cookie.php,第74行,"				foreach($_COOKIE[$name] as $k => $v)
"
29,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\DB\Adapter\ConnectionAdapter\DbConnectionAdapter.php,第8行,"	public function exec($sql, $connResource);
"
30,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\DB\Adapter\ConnectionAdapter\DbConnectionAdapterMysql.php,第9行,"	public function exec($sql, $connResource)
"
31,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\DB\Adapter\ConnectionAdapter\DbConnectionAdapterMysqli.php,第9行,"	public function exec($sql, $connResource)
"
32,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\DB\Adapter\ConnectionAdapter\DbConnectionAdapterPdo.php,第41行,"	public function exec($sql, $connResource)
"
33,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\DB\Adapter\ConnectionAdapter\DbConnectionAdapterPgsql.php,第17行,"	public function exec($sql, $connResource)
"
34,exec,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\DB\Adapter\ConnectionAdapter\DbConnectionAdapterSqlite.php,第41行,"	public function exec($sql, $connResource)
"
35,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Logger\Logger.php,第24行,"			$this->fileHandle = fopen($this->conf[""log_file""], ""a"");
"
36,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Logger\Logger.php,第40行,"		fwrite($this->getFileHandle(), $logData);
"
37,$_SERVER['HTTP_X_FORWARDED_FOR'],获取IP地址方式可伪造，HTTP_REFERER可伪造，常见引发SQL注入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\Context.php,第83行,"			if (isset($_SERVER['HTTP_X_FORWARDED_FOR']))
"
38,$_SERVER['HTTP_X_FORWARDED_FOR'],获取IP地址方式可伪造，HTTP_REFERER可伪造，常见引发SQL注入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\Context.php,第85行,"				$clientIp = $_SERVER['HTTP_X_FORWARDED_FOR'];
"
39,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\TemplateView.php,第76行,"				$tpl_include_files = include($objfile);
"
40,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\TemplateView.php,第109行,"			$str = file_get_contents($tplfile);
"
41,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\TemplateView.php,第131行,"					copy($objfile . '.tmp', $objfile); // win下不能重命名已经存在的文件
"
42,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\TemplateView.php,第132行,"					unlink($objfile . '.tmp');
"
43,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\TemplateView.php,第331行,"					$subTpl = file_get_contents($findfile);
"
44,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\TemplateView.php,第360行,"					$subTpl = file_get_contents($comfile);
"
45,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\View.php,第19行,"			include($this->layoutDir . $this->layout . '.php');
"
46,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\MVC\View.php,第23行,"			include($this->templateDir . $this->template . '.php');
"
47,foreach,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Router\Router.php,第83行,"					foreach($_GET as $v)
"
48,foreach,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Router\Router.php,第92行,"				foreach($_GET as $v)
"
49,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\Config.php,第55行,"			$this->conf = include($configFile);
"
50,file_put_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\StoreFile.php,第48行,"		$length = file_put_contents($file, '<?php exit;?>' . $value);
"
51,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\StoreFile.php,第66行,"			return @unlink($file);
"
52,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\StoreFile.php,第83行,"		$str = file_get_contents($file);
"
53,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\StoreFile.php,第87行,"			$value = unserialize($value);
"
54,file_put_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\lotusphp_runtime\StoreFile.php,第111行,"			$length = file_put_contents($file, '<?php exit;?>' . $value);
"
55,include,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alipay\alipay\AopSdk.php,第38行,"include($lotusHome . ""Lotus.php"");
"
56,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alisms\alisms\Regions\EndpointConfig.php,第21行,"$xml = simplexml_load_string(file_get_contents($endpoint_filename));
"
57,simplexml_load_string,可能存在信息泄露漏洞，读取任意文件,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alisms\alisms\Regions\EndpointConfig.php,第21行,"$xml = simplexml_load_string(file_get_contents($endpoint_filename));
"
58,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alisms\aliyun-php-sdk-core\Regions\EndpointConfig.php,第21行,"$xml = simplexml_load_string(file_get_contents($endpoint_filename));
"
59,simplexml_load_string,可能存在信息泄露漏洞，读取任意文件,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alisms\aliyun-php-sdk-core\Regions\EndpointConfig.php,第21行,"$xml = simplexml_load_string(file_get_contents($endpoint_filename));
"
60,require_once,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_alisms\model\send.php,第7行,"require_once($this->plugin_root .'/alisms/sms.php');
"
61,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_h5game\custom\actions\welcome.php,第77行,"			require($game_condition_file);
"
62,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_h5game\custom\actions\welcome.php,第181行,"			require($game_php_file);
"
63,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_h5game\custom\actions\welcome.php,第227行,"				require($game_pc_file);
"
64,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_h5game\custom\actions\welcome.php,第292行,"		require($game_php_file);
"
65,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\class\goods.php,第425行,"				$labelname = unserialize($goods['labelname']);
"
66,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\custom\actions\goods\detail.php,第196行,"			$labelname = unserialize($goods['labelname']);
"
67,extract,函数中存在变量，可能存在变量覆盖漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\custom\actions\verify\page.php,第63行,"		extract($allow);
"
68,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\manage\actions\goods\virtual_temp.php,第229行,"			$value=unserialize($item['fields']);
"
69,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\manage\actions\goods\virtual_temp.php,第268行,"	$item['fields']=unserialize($item['fields']);
"
70,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\manage\actions\goods\virtual_temp.php,第405行,"	$data=file_get_contents($file);
"
71,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\manage\actions\shop\peisong.php,第185行,"	$areas=unserialize($areas);
"
72,extract,函数中存在变量，可能存在变量覆盖漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\manage\actions\shoph5\verify\page.php,第63行,"		extract($allow);
"
73,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\model\wxcard\updateimg.php,第9行,"			copy($source,$temp);
"
74,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_weishop\customfunc.php,第19行,"	require($file);
"
75,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_xiu\custom\actions\scene.php,第7行,"		$fh = file_get_contents($posturl);
"
76,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_xiu\custom\actions\scene.php,第240行,"			//$fh = file_get_contents($posturl);
"
77,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\addons\jy_xiu\custom\actions\scene.php,第252行,"		$fh = file_get_contents($posturl); 
"
78,parse_str,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第34行,"	parse_str(_authcode($code, 'DECODE', UC_KEY), $get);
"
79,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第49行,"	$post = xml_unserialize(file_get_contents('php://input'));
"
80,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第152行,"		$fp = fopen($cachefile, 'w');
"
81,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第162行,"		fwrite($fp, $s);
"
82,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第152行,"		$fp = fopen($cachefile, 'w');
"
83,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第162行,"		fwrite($fp, $s);
"
84,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第152行,"		$fp = fopen($cachefile, 'w');
"
85,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第162行,"		fwrite($fp, $s);
"
86,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第196行,"			$configfile = trim(file_get_contents($this->appdir.'./config.inc.php'));
"
87,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第199行,"			if($fp = @fopen($this->appdir.'./config.inc.php', 'w')) {
"
88,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第200行,"				@fwrite($fp, trim($configfile));
"
89,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第152行,"		$fp = fopen($cachefile, 'w');
"
90,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\api\uc.php,第162行,"		fwrite($fp, $s);
"
91,require_once,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\api\wxapi.php,第664行,"			require_once($dir);
"
92,require_once,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\api\wxapi.php,第672行,"				require_once($dir);
"
93,require_once,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\api\wxapi.php,第677行,"					require_once($file);
"
94,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\file.php,第103行,"		@unlink($tempfile);
"
95,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\file_upload.php,第69行,"			$data=file_get_contents($first_url);
"
96,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\file_upload.php,第69行,"			$data=file_get_contents($first_url);
"
97,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\get_template.php,第37行,"				$template=array('template'=>file_get_contents($template_file));
"
98,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\get_template.php,第46行,"						$common['list_shows'][$name]=file_get_contents($show_file);
"
99,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\get_template.php,第56行,"						$common['list_edits'][$name]=file_get_contents($edit_file);
"
100,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\get_template.php,第63行,"					$template['template']=file_get_contents($file);
"
101,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\actions\tools\get_template.php,第82行,"				$template=array('template'=>file_get_contents($template_dir.'edit_show/'.$name.'.html'));
"
102,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\common\index.php,第126行,"$html=file_get_contents($mainsource);
"
103,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\config\config.php,第60行,"	$_tempconf	= require($_confpath);
"
104,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\config\config.php,第70行,"	$config['authorkey'] = require($_confpath);
"
105,include_once,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\config\config.php,第97行,"if(file_exists($_confpath))include_once($_confpath);
"
106,require,"文件包含函数中存在变量,可能存在文件包含漏洞",D:\phpstudy_pro\WWW\cms\xinhu\config\iplogs.php,第9行,"		$iparr 	= require($iplist);
"
107,foreach,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\config\iplogs.php,第51行,"		foreach($_GET as $k=>$v)$str1.='['.$k.']:'.$v.chr(10).'';
"
108,foreach,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\config\iplogs.php,第54行,"		foreach($_POST as $k=>$v)$str2.='['.$k.']:'.$v.chr(10).'';
"
109,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第231行,"			copy($source,$temp);
"
110,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第238行,"			@unlink($temp);
"
111,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第238行,"			@unlink($temp);
"
112,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第231行,"			copy($source,$temp);
"
113,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第238行,"			@unlink($temp);
"
114,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第356行,"						$content=file_get_contents($response['down_url']);
"
115,file_get_contents,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第416行,"						$content=file_get_contents($media['url']);	
"
116,copy,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第476行,"		copy($source,$temp);
"
117,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\account.php,第479行,"		@unlink($temp);
"
118,unserialize,序列化函数，可能存在反序列化漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\core.php,第554行,"		$result=@unserialize(base64_decode($bak['content']));
"
119,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第534行,"					$operator = "" = `$fields` + "";
"
120,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第536行,"					$operator = "" = `$fields` - "";
"
121,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第556行,"						$result['fields'] []= ""`$fields` {$operator} "".implode("" and "", $insql);
"
122,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第562行,"						$result['fields'] []= ""`$fields` {$operator} ("".implode("","", $insql)."")"";
"
123,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第572行,"						$result['fields'][]= ""`$fields` {$operator}  :{$suffix}{$fields}1"";
"
124,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第575行,"						$result['fields'][]=  "" FIND_IN_SET(`$fields` ,:{$suffix}$fields )"";
"
125,`$,``反引号中包含变量，变量可控会导致命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\class\db.php,第580行,"						$result['fields'][]=  ""`$fields` {$operator}  :{$suffix}$fields"";
"
